
These predictions were generated by SeaState on 08-Apr-2022 at 15:56:34.




      Time                          Wave1Elev                          Wave1Elv1                          Wave1Elv2                          Wave2Elev                          Wave2Elv1                          Wave2Elv2                            FVel1xi                            FVel1yi                            FVel1zi                            FAcc1xi                            FAcc1yi                            FAcc1zi                             FDynP1                            FVel2xi                            FVel2yi                            FVel2zi                            FAcc2xi                            FAcc2yi                            FAcc2zi                             FDynP2
   (sec)                                (m)                                (m)                                (m)                                (m)                                (m)                                (m)                              (m/s)                              (m/s)                              (m/s)                            (m/s^2)                            (m/s^2)                            (m/s^2)                               (Pa)                              (m/s)                              (m/s)                              (m/s)                            (m/s^2)                            (m/s^2)                            (m/s^2)                               (Pa)
    0.0000                     -0.8789172E+00                     -0.8789172E+00                      0.0000000E+00                      0.2658019E+00                      0.2658019E+00                      0.0000000E+00                     -0.3321136E+00                      0.0000000E+00                      0.1030549E+00                      0.5162670E-01                      0.0000000E+00                      0.2004592E+00                     -0.5911316E+04                      0.4665872E-01                      0.0000000E+00                      0.2900240E+00                      0.1812288E+00                      0.0000000E+00                     -0.6046713E-01                     -0.1736702E+03
    0.0125                     -0.8754928E+00                     -0.8754928E+00                      0.0000000E+00                      0.2706766E+00                      0.2706766E+00                      0.0000000E+00                     -0.3313149E+00                      0.0000000E+00                      0.1055176E+00                      0.5314939E-01                      0.0000000E+00                      0.2000001E+00                     -0.5895847E+04                      0.4884628E-01                      0.0000000E+00                      0.2891220E+00                      0.1804189E+00                      0.0000000E+00                     -0.6190676E-01                     -0.1380408E+03
    0.0250                     -0.8720683E+00                     -0.8720683E+00                      0.0000000E+00                      0.2755513E+00                      0.2755513E+00                      0.0000000E+00                     -0.3305162E+00                      0.0000000E+00                      0.1079803E+00                      0.5467210E-01                      0.0000000E+00                      0.1995410E+00                     -0.5880378E+04                      0.5103384E-01                      0.0000000E+00                      0.2882199E+00                      0.1796090E+00                      0.0000000E+00                     -0.6334641E-01                     -0.1024114E+03
    0.0375                     -0.8686440E+00                     -0.8686440E+00                      0.0000000E+00                      0.2804261E+00                      0.2804261E+00                      0.0000000E+00                     -0.3297175E+00                      0.0000000E+00                      0.1104430E+00                      0.5619479E-01                      0.0000000E+00                      0.1990819E+00                     -0.5864910E+04                      0.5322140E-01                      0.0000000E+00                      0.2873178E+00                      0.1787992E+00                      0.0000000E+00                     -0.6478605E-01                     -0.6678207E+02
    0.0500                     -0.8652196E+00                     -0.8652196E+00                      0.0000000E+00                      0.2853008E+00                      0.2853008E+00                      0.0000000E+00                     -0.3289188E+00                      0.0000000E+00                      0.1129057E+00                      0.5771749E-01                      0.0000000E+00                      0.1986228E+00                     -0.5849440E+04                      0.5540896E-01                      0.0000000E+00                      0.2864157E+00                      0.1779893E+00                      0.0000000E+00                     -0.6622569E-01                     -0.3115269E+02
    0.0625                     -0.8617952E+00                     -0.8617952E+00                      0.0000000E+00                      0.2901755E+00                      0.2901755E+00                      0.0000000E+00                     -0.3281201E+00                      0.0000000E+00                      0.1153684E+00                      0.5924019E-01                      0.0000000E+00                      0.1981637E+00                     -0.5833971E+04                      0.5759652E-01                      0.0000000E+00                      0.2855136E+00                      0.1771795E+00                      0.0000000E+00                     -0.6766533E-01                      0.4476679E+01
    0.0750                     -0.8583708E+00                     -0.8583708E+00                      0.0000000E+00                      0.2950502E+00                      0.2950502E+00                      0.0000000E+00                     -0.3273214E+00                      0.0000000E+00                      0.1178312E+00                      0.6076290E-01                      0.0000000E+00                      0.1977047E+00                     -0.5818502E+04                      0.5978408E-01                      0.0000000E+00                      0.2846115E+00                      0.1763696E+00                      0.0000000E+00                     -0.6910498E-01                      0.4010607E+02
    0.0875                     -0.8549464E+00                     -0.8549464E+00                      0.0000000E+00                      0.2999249E+00                      0.2999249E+00                      0.0000000E+00                     -0.3265226E+00                      0.0000000E+00                      0.1202939E+00                      0.6228560E-01                      0.0000000E+00                      0.1972456E+00                     -0.5803032E+04                      0.6197164E-01                      0.0000000E+00                      0.2837095E+00                      0.1755597E+00                      0.0000000E+00                     -0.7054461E-01                      0.7573546E+02
    0.1000                     -0.8515220E+00                     -0.8515220E+00                      0.0000000E+00                      0.3047996E+00                      0.3047996E+00                      0.0000000E+00                     -0.3257239E+00                      0.0000000E+00                      0.1227566E+00                      0.6380830E-01                      0.0000000E+00                      0.1967865E+00                     -0.5787563E+04                      0.6415919E-01                      0.0000000E+00                      0.2828074E+00                      0.1747499E+00                      0.0000000E+00                     -0.7198425E-01                      0.1113648E+03
    0.1125                     -0.8480976E+00                     -0.8480976E+00                      0.0000000E+00                      0.3096744E+00                      0.3096744E+00                      0.0000000E+00                     -0.3249252E+00                      0.0000000E+00                      0.1252193E+00                      0.6533099E-01                      0.0000000E+00                      0.1963274E+00                     -0.5772094E+04                      0.6634675E-01                      0.0000000E+00                      0.2819053E+00                      0.1739400E+00                      0.0000000E+00                     -0.7342389E-01                      0.1469942E+03
    0.1250                     -0.8446733E+00                     -0.8446733E+00                      0.0000000E+00                      0.3145491E+00                      0.3145491E+00                      0.0000000E+00                     -0.3241265E+00                      0.0000000E+00                      0.1276820E+00                      0.6685369E-01                      0.0000000E+00                      0.1958683E+00                     -0.5756625E+04                      0.6853431E-01                      0.0000000E+00                      0.2810032E+00                      0.1731301E+00                      0.0000000E+00                     -0.7486353E-01                      0.1826235E+03
    0.1375                     -0.8412489E+00                     -0.8412489E+00                      0.0000000E+00                      0.3194238E+00                      0.3194238E+00                      0.0000000E+00                     -0.3233277E+00                      0.0000000E+00                      0.1301447E+00                      0.6837639E-01                      0.0000000E+00                      0.1954092E+00                     -0.5741156E+04                      0.7072187E-01                      0.0000000E+00                      0.2801011E+00                      0.1723203E+00                      0.0000000E+00                     -0.7630318E-01                      0.2182529E+03
    0.1500                     -0.8378245E+00                     -0.8378245E+00                      0.0000000E+00                      0.3242985E+00                      0.3242985E+00                      0.0000000E+00                     -0.3225291E+00                      0.0000000E+00                      0.1326074E+00                      0.6989910E-01                      0.0000000E+00                      0.1949501E+00                     -0.5725687E+04                      0.7290943E-01                      0.0000000E+00                      0.2791991E+00                      0.1715104E+00                      0.0000000E+00                     -0.7774282E-01                      0.2538823E+03
    0.1625                     -0.8344001E+00                     -0.8344001E+00                      0.0000000E+00                      0.3291733E+00                      0.3291733E+00                      0.0000000E+00                     -0.3217304E+00                      0.0000000E+00                      0.1350701E+00                      0.7142180E-01                      0.0000000E+00                      0.1944911E+00                     -0.5710217E+04                      0.7509699E-01                      0.0000000E+00                      0.2782970E+00                      0.1707006E+00                      0.0000000E+00                     -0.7918245E-01                      0.2895117E+03
    0.1750                     -0.8309757E+00                     -0.8309757E+00                      0.0000000E+00                      0.3340480E+00                      0.3340480E+00                      0.0000000E+00                     -0.3209316E+00                      0.0000000E+00                      0.1375328E+00                      0.7294449E-01                      0.0000000E+00                      0.1940319E+00                     -0.5694749E+04                      0.7728455E-01                      0.0000000E+00                      0.2773949E+00                      0.1698907E+00                      0.0000000E+00                     -0.8062211E-01                      0.3251411E+03
    0.1875                     -0.8275513E+00                     -0.8275513E+00                      0.0000000E+00                      0.3389227E+00                      0.3389227E+00                      0.0000000E+00                     -0.3201329E+00                      0.0000000E+00                      0.1399955E+00                      0.7446720E-01                      0.0000000E+00                      0.1935729E+00                     -0.5679280E+04                      0.7947210E-01                      0.0000000E+00                      0.2764928E+00                      0.1690808E+00                      0.0000000E+00                     -0.8206173E-01                      0.3607704E+03
    0.2000                     -0.8241269E+00                     -0.8241269E+00                      0.0000000E+00                      0.3437974E+00                      0.3437974E+00                      0.0000000E+00                     -0.3193342E+00                      0.0000000E+00                      0.1424582E+00                      0.7598989E-01                      0.0000000E+00                      0.1931138E+00                     -0.5663810E+04                      0.8165967E-01                      0.0000000E+00                      0.2755908E+00                      0.1682710E+00                      0.0000000E+00                     -0.8350138E-01                      0.3963998E+03
    0.2125                     -0.8206988E+00                     -0.8206988E+00                      0.0000000E+00                      0.3477668E+00                      0.3477668E+00                      0.0000000E+00                     -0.3182380E+00                      0.0000000E+00                      0.1448123E+00                      0.7744084E-01                      0.0000000E+00                      0.1924884E+00                     -0.5643492E+04                      0.8366692E-01                      0.0000000E+00                      0.2744151E+00                      0.1672817E+00                      0.0000000E+00                     -0.8479401E-01                      0.4299366E+03
    0.2250                     -0.8172707E+00                     -0.8172707E+00                      0.0000000E+00                      0.3517362E+00                      0.3517362E+00                      0.0000000E+00                     -0.3171417E+00                      0.0000000E+00                      0.1471664E+00                      0.7889175E-01                      0.0000000E+00                      0.1918629E+00                     -0.5623174E+04                      0.8567418E-01                      0.0000000E+00                      0.2732395E+00                      0.1662925E+00                      0.0000000E+00                     -0.8608666E-01                      0.4634733E+03
    0.2375                     -0.8138427E+00                     -0.8138427E+00                      0.0000000E+00                      0.3557055E+00                      0.3557055E+00                      0.0000000E+00                     -0.3160455E+00                      0.0000000E+00                      0.1495204E+00                      0.8034270E-01                      0.0000000E+00                      0.1912375E+00                     -0.5602856E+04                      0.8768144E-01                      0.0000000E+00                      0.2720638E+00                      0.1653033E+00                      0.0000000E+00                     -0.8737929E-01                      0.4970101E+03
    0.2500                     -0.8104146E+00                     -0.8104146E+00                      0.0000000E+00                      0.3596749E+00                      0.3596749E+00                      0.0000000E+00                     -0.3149492E+00                      0.0000000E+00                      0.1518745E+00                      0.8179364E-01                      0.0000000E+00                      0.1906121E+00                     -0.5582537E+04                      0.8968869E-01                      0.0000000E+00                      0.2708881E+00                      0.1643140E+00                      0.0000000E+00                     -0.8867193E-01                      0.5305468E+03
    0.2625                     -0.8069865E+00                     -0.8069865E+00                      0.0000000E+00                      0.3636442E+00                      0.3636442E+00                      0.0000000E+00                     -0.3138530E+00                      0.0000000E+00                      0.1542285E+00                      0.8324455E-01                      0.0000000E+00                      0.1899867E+00                     -0.5562219E+04                      0.9169593E-01                      0.0000000E+00                      0.2697125E+00                      0.1633248E+00                      0.0000000E+00                     -0.8996458E-01                      0.5640836E+03
    0.2750                     -0.8035583E+00                     -0.8035583E+00                      0.0000000E+00                      0.3676136E+00                      0.3676136E+00                      0.0000000E+00                     -0.3127567E+00                      0.0000000E+00                      0.1565825E+00                      0.8469548E-01                      0.0000000E+00                      0.1893613E+00                     -0.5541901E+04                      0.9370319E-01                      0.0000000E+00                      0.2685369E+00                      0.1623356E+00                      0.0000000E+00                     -0.9125722E-01                      0.5976204E+03
